Latitude (º);Longitude (º);Plastic concentration (g.km-2);Vessel
-33.23;15.34;25.46;Hepérides
-33.56;39.87;100.41;Hepérides
-33.57;-79.75;67.7;Poli
-33.65;-77.89;22.55;Poli
-33.91;37.03;16.25;Hepérides
-34.06;176.02;0;Hepérides
-34.18;33.72;60.87;Hepérides
-34.22;-78.05;38.11;Poli
-34.29;-79.43;114.35;Poli
-34.44;32.12;78.05;Hepérides
-34.52;-78.7;9.41;Poli
-34.84;27.55;87.03;Hepérides
-35.13;25.54;97.97;Hepérides
-35.98;117.4;0;Hepérides
-36.63;120.84;24.47;Hepérides
-36.64;151.01;22.68;Hepérides
-37.37;124.82;0;Hepérides
-37.89;127.75;0;Hepérides
-38.57;131.5;0;Hepérides
-38.62;150.42;16.01;Hepérides
-39.23;135.14;44.3;Hepérides
-39.77;-56.75;0;Pakea Bizkaia
-39.87;138.74;0;Hepérides
-40.54;142.49;0;Hepérides
-44.77;-62.27;0.01;Pakea Bizkaia
-49.4;-64.07;0.01;Pakea Bizkaia
-62.1;-58.9;1.54;Pakea Bizkaia
-63.1;-60;2.78;Pakea Bizkaia
-64.08;-62;0.01;Pakea Bizkaia
-64.77;-62.82;0.93;Pakea Bizkaia
-64.88;-62.85;0.1;Pakea Bizkaia
