"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
81438,"Santa Cruz County, CA, USA","California, USA","United States","36.97132, -121.91159","Land (beach, shoreline and inland)",2019-09-21,,3,0,3,3.57,0.0047,0,6,3,1,0,4,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,20,47
81441,"Los Angeles County, CA, USA","California, USA","United States","34.17938, -118.0968","Land (beach, shoreline and inland)",2019-09-21,"Eaton canyon Fall 2019",1,0,1,3.09,0.0074,0,0,8,0,0,1,0,0,0,1,4,2,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,32
81442,"Solano County, CA, USA","California, USA","United States","38.2886, -122.05029","Land (beach, shoreline and inland)",2019-09-21,"Coastal Clean Up",13,0,13,20.42,2.1933,0,130,26,6,2,9,0,1,9,0,11,6,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,8,71,0,0,0,0,8,0,0,94,407
81445,"San Francisco County, CA, USA","California, USA","United States","37.74628, -122.38801","Land (beach, shoreline and inland)",2019-09-21,Vskskskscounite,6,0,6,7.4,0.8945,0,22,2,2,1,0,0,2,3,3,6,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,4,0,0,4,90
81447,"Los Angeles County, CA, USA","California, USA","United States","34.14516, -118.11615","Land (beach, shoreline and inland)",2019-09-21,"EATON CANYON FALL2019",1,0,1,0.65,2.487,0,1,8,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,23
81448,"Orange County, CA, USA","California, USA","United States","33.6535, -117.88426","Land (beach, shoreline and inland)",2019-09-21,,3,0,3,0.32,1.0147,0,0,3,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,27
81450,"Los Angeles County, CA, USA","California, USA","United States","34.17993, -118.09674","Land (beach, shoreline and inland)",2019-09-21,"EATON CANYONS FALL2019",2,0,2,0.53,0.0541,0,1,3,0,0,4,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17
81451,"Los Angeles County, CA, USA","California, USA","United States","34.17955, -118.09691","Land (beach, shoreline and inland)",2019-09-21,"EATON CANYON 2019",1,0,1,2.56,0.1638,0,5,0,1,0,1,0,0,1,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
81452,"Ventura County, CA, USA","California, USA","United States","34.26661, -118.76103","Land (beach, shoreline and inland)",2019-09-21,"Anthony  Z",2,0,2,5,3.1465,0,82,23,2,0,14,0,3,1,0,1,4,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,28,0,0,0,0,8,0,0,40,216
81456,"Santa Barbara County, CA, USA","California, USA","United States","34.41693, -119.6431","Land (beach, shoreline and inland)",2019-09-21,"Ian and Sabrina ",1,0,1,2.29,0.6404,0,7,9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,39
